video_id,title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,likesVSviews,rating,raw_rating
w-FO8lGpyBE,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-03-03 03:29:19,152,14243,422,265,0.011022958646352594,0.22784688098939485,0.011022958646352594
5UZ1WNxbUj4,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-02-26 18:22:26,105,38774,1003,52,0.02452674472584722,0.5329344522580819,0.02452674472584722
ZgqcvqZnKCY,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-02-11 18:13:12,95,42334,1445,43,0.03311758869939056,0.7270251841170883,0.03311758869939056
wO0a2C6PqtY,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-01-30 18:24:55,105,35996,772,111,0.018363151461273475,0.3936819723752536,0.018363151461273475
9K5z_kYd6Sg,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-01-21 18:14:09,77,48912,1101,54,0.02140578999018646,0.4624235233425164,0.02140578999018646
b7RhBZvPufc,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2020-01-15 16:45:31,162,54465,1243,187,0.01938859818231892,0.4168496268202729,0.01938859818231892
_u7AVpqyM4k,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-12-18 18:35:32,156,45899,1466,74,0.030327458114555873,0.6639884802890939,0.030327458114555873
BHhrybpwc1g,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-12-11 18:23:25,189,39432,593,449,0.0036518563603164943,0.061313459859845786,0.0036518563603164947
C8WG4a2QXHU,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-12-04 18:43:56,105,29877,743,116,0.020986042775379053,0.4529402823048903,0.020986042775379053
srlZC4hbvkw,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-11-20 18:25:55,80,36033,716,149,0.0157355757222546,0.3343178284364602,0.0157355757222546
EbUQ51vv0KY,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-11-13 18:11:57,118,35670,956,33,0.02587608634707037,0.5634197810101299,0.02587608634707037
jBc4Gl_BRts,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-10-29 17:50:38,176,119969,4503,162,0.03618434762313598,0.7963116809709453,0.03618434762313598
GRUaq51av9o,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-10-22 17:38:06,263,99945,3522,212,0.033118215018260046,0.7270393343784747,0.03311821501826005
eGO9aR6de2E,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-09-25 16:52:08,155,81311,2312,144,0.026663059118692427,0.5811996547533421,0.026663059118692427
wV-NcNwXqcA,Team Coco,2008-06-23T02:45:04.000Z,7730000,8411,6551340275,2019-09-18 02:53:05,904,351554,16500,910,0.04434596107568112,0.9807049178907667,0.04434596107568112
mf5QyS5S54o,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2018-05-29 13:26:19,870,826784,25130,1931,0.028059323837906876,0.6127451050089665,0.02805932383790688
3vGa_Gejmac,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2018-05-24 06:28:23,931,766172,29134,2219,0.03512918770197815,0.7724727238258133,0.03512918770197815
NeGwR5CeyLg,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2017-10-03 13:30:00,471,1970825,46462,1013,0.023060900891758527,0.4998170189272633,0.023060900891758527
T6uAXwwCZRA,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2017-08-17 13:30:00,539,1812168,38992,1367,0.02076242379293752,0.4478881160575103,0.02076242379293752
TK1lsJvkNsY,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2017-07-18 13:30:01,487,1182676,22263,2036,0.017102739888185774,0.36520581736446095,0.017102739888185774
AqCj3vJpOD0,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-17 13:30:01,353,1963321,19360,852,0.009426884345453444,0.19178718416369447,0.009426884345453444
1III07Eb1VM,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-18 13:30:00,686,3285428,43604,1352,0.012860424882237565,0.26936028381540744,0.012860424882237565
mBdejoT-aNY,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-16 13:30:01,379,882464,12464,1448,0.012483228777604525,0.2608383890832887,0.012483228777604523
5LjyE31aHgA,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-12 11:00:01,361,727752,9548,938,0.011830953401708274,0.2461016990128841,0.011830953401708274
4eiyui0dF5o,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-10 13:00:00,513,1722168,23978,1705,0.012933116862001848,0.2710025950477125,0.012933116862001848
oImXZDxKUOc,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-09 13:30:00,349,1103109,21000,296,0.01876877081050014,0.4028460261736962,0.01876877081050014
5ZOBoaCtCm4,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-09-06 13:30:01,239,1104736,18819,478,0.01660215653332561,0.35389626617246417,0.01660215653332561
BJ8DZeTOWsQ,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-08-02 08:26:55,350,805065,14359,706,0.0169588790967189,0.3619556074447359,0.0169588790967189
ZzBMY8HgKAg,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-07-08 11:30:00,664,1523328,33277,1311,0.020984318544660114,0.452901327203021,0.020984318544660114
vGqQlMbaJ0k,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2016-07-05 07:33:09,261,1515164,18322,643,0.011668043855318631,0.24242112546470185,0.011668043855318631
NLmB3_jnuLg,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2015-12-12 11:13:19,452,1484688,15436,2111,0.00897494961904454,0.18157673894185847,0.00897494961904454
_FhhWBl6iIU,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2015-06-08 07:55:54,330,1081589,12631,558,0.011162280681478825,0.23099454795261906,0.011162280681478823
Lc81vSTHGMY,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2014-12-12 10:54:22,1472,4131289,54501,2345,0.012624631198640424,0.2640330576711496,0.012624631198640424
2YVwe5EtVog,East India Comedy,2012-05-30T18:29:07.000Z,1490000,209,185342737,2014-03-22 11:13:17,191,573694,5344,413,0.008595174430968426,0.17299657563979096,0.008595174430968426
