title,published_at,subscriberCount,videoCount,viewCount,video_published_date,video_commentCount,video_viewCount,video_likeCount,video_dislikeCount,video_favoriteCount,video_id
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-19T18:00:00.000Z,21,21316,722,63,0,a4bM8wjoLdA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-14T18:00:03.000Z,34,25119,707,85,0,Kl3O1A6LrFY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-21T18:00:01.000Z,34,6660,437,28,0,6uq3EwlJWTs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-17T18:00:01.000Z,49,14399,356,116,0,adcFY1KM8NI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-15T19:00:02.000Z,8,6057,86,16,0,L_ADP28n9k4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-08T19:00:01.000Z,20,8007,109,36,0,7rm_wOKGp9k
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-12T18:00:00.000Z,59,18416,537,137,0,54eH_W2QzL8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-10T18:00:07.000Z,118,18087,673,107,0,qTSOKHgPuI8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-01T19:00:05.000Z,64,9758,95,248,0,oylQ7WN9Bes
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-07T18:00:11.000Z,89,38238,741,186,0,s4CwBlk6cn8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-02-05T18:00:03.000Z,38,16512,450,43,0,HNhCdh2TW9U
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-29T18:00:10.000Z,94,35063,1271,134,0,quJEUa-7-YM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-25T19:00:00.000Z,6,9297,174,22,0,-bpuLI4L1h4
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-27T18:00:15.000Z,83,74752,2656,102,0,xZPdn-2kd3c
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-24T18:00:10.000Z,54,34143,1322,54,0,etV2-0PugVg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-22T18:00:09.000Z,122,182910,5372,104,0,Xb8i4Fz7gsw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-20T18:00:02.000Z,354,106743,2573,371,0,ClEcyGy8bJU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-18T19:00:00.000Z,10,8465,101,28,0,-cgWeVIdebU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-17T18:00:08.000Z,111,20220,573,141,0,taaIxCbmkVY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-11T19:00:03.000Z,9,5978,68,23,0,c39DTiil8CY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-15T18:00:02.000Z,757,761722,20200,365,0,FjLT-xI8_MA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-13T18:00:13.000Z,135,73940,1634,187,0,kGvK3C0jA8M
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-04T19:00:06.000Z,56,20820,285,99,0,cyWniDvi5jo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-10T18:00:05.000Z,42,24348,639,36,0,KFgPoZAXNQc
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-08T18:00:00.000Z,36,30213,723,52,0,-Wpv81GPyWo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-06T18:00:04.000Z,141,32151,723,327,0,cnMSyNaboZM
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2020-01-01T18:00:03.000Z,1778,1836167,43985,1887,0,MWU62spS_TI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-28T19:00:05.000Z,23,10148,93,60,0,sPE7HYGj10M
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-21T18:00:03.000Z,8,8323,153,17,0,bfph4LaseOU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-30T18:00:00.000Z,126,87132,2923,130,0,1XFFO9CqGdA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-27T18:00:01.000Z,19,16100,461,40,0,8HsLOFixbXA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-25T18:00:01.000Z,42,20278,525,150,0,BtmM4o2cuGo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-23T18:00:00.000Z,110,30378,582,110,0,2a-sEClL4yk
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-14T19:00:01.000Z,8,5288,75,17,0,0uZ2Kkb-WTY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-20T18:00:01.000Z,43,27175,693,76,0,5ZtwUpPSdt0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-18T18:00:07.000Z,18,14150,449,14,0,s-rmsaBbf88
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-16T18:00:07.000Z,52,16774,459,115,0,ZsInmyr9dWg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-07T19:00:00.000Z,13,10875,136,33,0,AwA_aTamwkw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-13T18:00:05.000Z,23,21533,530,35,0,K3l2iyM7m7w
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-11T18:00:07.000Z,219,181649,4245,113,0,_zVsB4n3A_I
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-09T18:00:05.000Z,25,15389,328,44,0,KaTtiPVIZRo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-06T18:00:03.000Z,28,32441,1018,56,0,ApJ8yzf3w-M
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-04T18:00:00.000Z,687,536337,12162,498,0,8OeQ8qfLcFw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-12-02T18:00:03.000Z,84,64089,1529,113,0,ChOr5ATKLdY
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-30T19:00:02.000Z,26,10617,185,39,0,SFl3NSaoAQg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-23T19:00:03.000Z,7,9596,152,39,0,izNZXhAgdfI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-29T18:00:09.000Z,288,361580,6125,201,0,zryfmBRvcb0
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-25T18:00:10.000Z,750,343195,9743,482,0,qXR1PRbSfoA
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-27T18:00:08.000Z,72,57871,1712,52,0,Wa9nj1rKwRs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-16T19:00:03.000Z,33,13871,215,40,0,cuO7ixkfeDw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-22T18:00:04.000Z,301,261255,9010,209,0,LzUmJ0c5NzU
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-09T19:00:05.000Z,13,7916,88,30,0,gNx3AoihRIo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-20T18:00:04.000Z,204,167015,4178,93,0,T6t0oz_qRkw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-18T18:00:06.000Z,98,33082,748,195,0,w6POThjiywg
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-15T18:00:14.000Z,70,27766,774,120,0,mS4_1PcWBdo
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-08T18:00:02.000Z,60,36453,1112,52,0,PLbALnTAq84
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-11T18:00:01.000Z,92,34333,982,59,0,3ewUeWrqIOI
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-02T18:00:02.000Z,7,14112,229,30,0,Nvoy351kOi8
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-06T18:00:07.000Z,52,42392,1271,40,0,Oq83Erppw5E
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-04T18:00:01.000Z,839,432025,14896,422,0,4CGtfXOTZ4w
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-11-01T17:00:12.000Z,721,483780,13524,670,0,nq8H6qSCjMw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-30T17:00:00.000Z,28,14087,328,38,0,2UTy1NHVCBE
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-28T17:00:04.000Z,115,103317,2462,168,0,Gv9W-Y0gsjQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-26T18:00:01.000Z,10,8569,80,30,0,CN-U9woJUuQ
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-25T17:00:12.000Z,24,29935,684,35,0,o0_Oh_cCsyw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-23T17:00:12.000Z,59,34629,894,69,0,v3jfBijLYiw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-18T17:00:12.000Z,47,44388,944,34,0,qU1HjgAL-Bw
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-12T18:00:02.000Z,20,11333,147,32,0,Kh3rI5R1Lhs
Just For Laughs,2011-02-09T17:09:06.000Z,917000,880,272713352,2019-10-16T17:00:08.000Z,172,36809,1081,118,0,WhNOmywxDM4
